"timestamp","device","seqnumber","event","temperature1","temperature2","bmetemp","bmehum","bmepress","adc1","adc2","adc3","battery","devicetypeid","data","time","__dt"
"2022-07-14T05:27:32+01:00","1B29854","1881","1","16","17","16","80","989","2","1","3","27","5eb9311be833d96c2857fd8b","0174757450590201031b","1657769252","2022-07-14 00:00:00.000"
"2022-07-12T17:32:34+01:00","1B29854","1741","1","44","36","41","13","993","2","1","5","27","5eb9311be833d96c2857fd8b","0190888d0d5d0201051b","1657639954","2022-07-12 00:00:00.000"
"2022-07-14T00:50:30+01:00","1B29854","1863","1","23","22","21","58","989","2","1","3","27","5eb9311be833d96c2857fd8b","017b7a793a590201031b","1657752630","2022-07-13 00:00:00.000"
"2022-07-13T02:00:16+01:00","1B29854","1774","1","17","16","16","64","993","2","1","4","27","5eb9311be833d96c2857fd8b","01757474405d0201041b","1657670416","2022-07-13 00:00:00.000"
"2022-07-12T17:01:48+01:00","1B29854","1739","1","44","34","39","14","993","2","1","5","27","5eb9311be833d96c2857fd8b","0190868b0e5d0201051b","1657638108","2022-07-12 00:00:00.000"
"2022-07-14T02:38:12+01:00","1B29854","1870","1","19","17","17","75","989","2","1","3","27","5eb9311be833d96c2857fd8b","017775754b590201031b","1657759092","2022-07-14 00:00:00.000"
"2022-07-13T20:29:00+01:00","1B29854","1846","1","34","31","34","21","989","2","1","3","27","5eb9311be833d96c2857fd8b","0186838615590201031b","1657736940","2022-07-13 00:00:00.000"
"2022-07-12T03:40:49+01:00","1B29854","1687","1","10","11","10","97","994","2","1","4","27","5eb9311be833d96c2857fd8b","016e6f6e615e0201041b","1657590049","2022-07-12 00:00:00.000"
"2022-07-14T06:44:30+01:00","1B29854","1886","1","16","17","17","81","989","2","1","3","27","5eb9311be833d96c2857fd8b","0174757551590201031b","1657773870","2022-07-14 00:00:00.000"
"2022-07-12T18:49:31+01:00","1B29854","1746","1","42","34","39","13","992","2","1","5","27","5eb9311be833d96c2857fd8b","018e868b0d5c0201051b","1657644571","2022-07-12 00:00:00.000"
"2022-07-13T18:10:32+01:00","1B29854","1837","1","42","33","38","15","989","2","1","4","27","5eb9311be833d96c2857fd8b","018e858a0f590201041b","1657728632","2022-07-13 00:00:00.000"
"2022-07-11T22:33:05+01:00","1B29854","1667","1","20","18","17","69","993","2","1","4","27","5eb9311be833d96c2857fd8b","01787675455d0201041b","1657571585","2022-07-11 00:00:00.000"
